"Product","Category","Cost_Price","Sale_Price","Brand","Description","Image_url","Date","Customer_Type","Country","Discount_Band","Units_Sold","Revenue","Total_cost","Month","Year","Month (1)","Discount_Band (1)","Discount","Discounted_Revenue"
"Scarlett 2i2","Audio Interface","$118.00","$169.00","Focusrite","A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, it’s a staple in beginner and professional setups alike.","https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png","2022-04-01","Education","Mexico"," High ",9,"$1,521.00","$1,062.00","April","2022","April","high",15,"$1,292.85"
"Arctis 7P+","Wireless Gaming Headset","$104.00","$149.00","SteelSeries","A wireless gaming headset with excellent sound quality and long battery life, designed specifically for compatibility with PlayStation 5. It features a retractable microphone, comfortable ear cushions, and a durable build.","https://absentdata.com/wp-content/uploads/2024/11/Arc_Headset-removebg-preview.png","2022-04-01","Creator","Germany"," High ",28,"$4,172.00","$2,912.00","April","2022","April","high",15,"$3,546.20"
"Arctis 7P+","Wireless Gaming Headset","$104.00","$149.00","SteelSeries","A wireless gaming headset with excellent sound quality and long battery life, designed specifically for compatibility with PlayStation 5. It features a retractable microphone, comfortable ear cushions, and a durable build.","https://absentdata.com/wp-content/uploads/2024/11/Arc_Headset-removebg-preview.png","2022-04-01","Creator","United States of America"," High ",14,"$2,086.00","$1,456.00","April","2022","April","high",15,"$1,773.10"
"MV7","Dynamic Microphone","$174.00","$199.00","Shure","A versatile USB/XLR dynamic microphone ideal for podcasting, streaming, and vocal recording. It features built-in DSP for sound customization and excellent voice isolation, inspired by the legendary SM7B microphone.","https://absentdata.com/wp-content/uploads/2024/11/m7_gif.gif","2022-04-01","Enterprise","Mexico"," High ",10,"$1,990.00","$1,740.00","April","2022","April","high",15,"$1,691.50"
"AudioBox USB 96 Studio","Recording Bundle","$90.00","$199.00","PreSonus","A complete recording bundle that includes an audio interface, M7 condenser microphone, headphones, and software. This all-in-one package is designed for musicians, podcasters, and streamers looking for an affordable, portable recording setup.","https://absentdata.com/wp-content/uploads/2024/11/AudioBox-USB-96-Studio.png","2023-04-01","Education","Germany"," High ",5,"$995.00","$450.00","April","2023","April","high",15,"$845.75"
"MV7","Dynamic Microphone","$174.00","$199.00","Shure","A versatile USB/XLR dynamic microphone ideal for podcasting, streaming, and vocal recording. It features built-in DSP for sound customization and excellent voice isolation, inspired by the legendary SM7B microphone.","https://absentdata.com/wp-content/uploads/2024/11/m7_gif.gif","2023-04-01","Enterprise","United States of America"," High ",35,"$6,965.00","$6,090.00","April","2023","April","high",15,"$5,920.25"
"QuadCast S","Streaming Microphone","$97.00","$139.00","HyperX","A USB condenser microphone featuring customizable RGB lighting, tap-to-mute functionality, and four polar patterns for versatile recording options. Ideal for gaming, streaming, and content creation.","https://absentdata.com/wp-content/uploads/2024/11/hyper_x_color_gif.gif","2022-04-01","Government","France"," High ",19,"$2,641.00","$1,843.00","April","2022","April","high",15,"$2,244.85"
"MV7","Dynamic Microphone","$174.00","$199.00","Shure","A versatile USB/XLR dynamic microphone ideal for podcasting, streaming, and vocal recording. It features built-in DSP for sound customization and excellent voice isolation, inspired by the legendary SM7B microphone.","https://absentdata.com/wp-content/uploads/2024/11/m7_gif.gif","2022-04-01","Enterprise","France"," High ",21,"$4,179.00","$3,654.00","April","2022","April","high",15,"$3,552.15"
"AudioBox USB 96 Studio","Recording Bundle","$90.00","$199.00","PreSonus","A complete recording bundle that includes an audio interface, M7 condenser microphone, headphones, and software. This all-in-one package is designed for musicians, podcasters, and streamers looking for an affordable, portable recording setup.","https://absentdata.com/wp-content/uploads/2024/11/AudioBox-USB-96-Studio.png","2022-04-01","Enterprise","United States of America"," High ",28,"$5,572.00","$2,520.00","April","2022","April","high",15,"$4,736.20"
"AudioBox USB 96 Studio","Recording Bundle","$90.00","$199.00","PreSonus","A complete recording bundle that includes an audio interface, M7 condenser microphone, headphones, and software. This all-in-one package is designed for musicians, podcasters, and streamers looking for an affordable, portable recording setup.","https://absentdata.com/wp-content/uploads/2024/11/AudioBox-USB-96-Studio.png","2022-04-01","Enterprise","Canada"," High ",1,"$199.00","$90.00","April","2022","April","high",15,"$169.15"
"Scarlett 2i2","Audio Interface","$118.00","$169.00","Focusrite","A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, it’s a staple in beginner and professional setups alike.","https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png","2023-04-01","Government","Canada"," High ",7,"$1,183.00","$826.00","April","2023","April","high",15,"$1,005.55"
"QuadCast S","Streaming Microphone","$97.00","$139.00","HyperX","A USB condenser microphone featuring customizable RGB lighting, tap-to-mute functionality, and four polar patterns for versatile recording options. Ideal for gaming, streaming, and content creation.","https://absentdata.com/wp-content/uploads/2024/11/hyper_x_color_gif.gif","2023-04-01","Government","Canada"," Low ",9,"$1,251.00","$873.00","April","2023","April","low",3,"$1,213.47"
"MV7","Dynamic Microphone","$174.00","$199.00","Shure","A versatile USB/XLR dynamic microphone ideal for podcasting, streaming, and vocal recording. It features built-in DSP for sound customization and excellent voice isolation, inspired by the legendary SM7B microphone.","https://absentdata.com/wp-content/uploads/2024/11/m7_gif.gif","2023-04-01","Enterprise","Canada"," Low ",7,"$1,393.00","$1,218.00","April","2023","April","low",3,"$1,351.21"
"Arctis 7P+","Wireless Gaming Headset","$104.00","$149.00","SteelSeries","A wireless gaming headset with excellent sound quality and long battery life, designed specifically for compatibility with PlayStation 5. It features a retractable microphone, comfortable ear cushions, and a durable build.","https://absentdata.com/wp-content/uploads/2024/11/Arc_Headset-removebg-preview.png","2023-04-01","Enterprise","Mexico"," Low ",11,"$1,639.00","$1,144.00","April","2023","April","low",3,"$1,589.83"
"Scarlett 2i2","Audio Interface","$118.00","$169.00","Focusrite","A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, it’s a staple in beginner and professional setups alike.","https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png","2023-04-01","Small Business","Germany"," Low ",14,"$2,366.00","$1,652.00","April","2023","April","low",3,"$2,295.02"
"AudioBox USB 96 Studio","Recording Bundle","$90.00","$199.00","PreSonus","A complete recording bundle that includes an audio interface, M7 condenser microphone, headphones, and software. This all-in-one package is designed for musicians, podcasters, and streamers looking for an affordable, portable recording setup.","https://absentdata.com/wp-content/uploads/2024/11/AudioBox-USB-96-Studio.png","2023-04-01","Government","Canada"," Low ",39,"$7,761.00","$3,510.00","April","2023","April","low",3,"$7,528.17"
"QuadCast S","Streaming Microphone","$97.00","$139.00","HyperX","A USB condenser microphone featuring customizable RGB lighting, tap-to-mute functionality, and four polar patterns for versatile recording options. Ideal for gaming, streaming, and content creation.","https://absentdata.com/wp-content/uploads/2024/11/hyper_x_color_gif.gif","2023-04-01","Creator","Mexico"," Low ",19,"$2,641.00","$1,843.00","April","2023","April","low",3,"$2,561.77"
"MV7","Dynamic Microphone","$174.00","$199.00","Shure","A versatile USB/XLR dynamic microphone ideal for podcasting, streaming, and vocal recording. It features built-in DSP for sound customization and excellent voice isolation, inspired by the legendary SM7B microphone.","https://absentdata.com/wp-content/uploads/2024/11/m7_gif.gif","2023-04-01","Government","Germany"," Low ",26,"$5,174.00","$4,524.00","April","2023","April","low",3,"$5,018.78"
"MV7","Dynamic Microphone","$174.00","$199.00","Shure","A versatile USB/XLR dynamic microphone ideal for podcasting, streaming, and vocal recording. It features built-in DSP for sound customization and excellent voice isolation, inspired by the legendary SM7B microphone.","https://absentdata.com/wp-content/uploads/2024/11/m7_gif.gif","2023-04-01","Enterprise","France"," Low ",42,"$8,358.00","$7,308.00","April","2023","April","low",3,"$8,107.26"
"Arctis 7P+","Wireless Gaming Headset","$104.00","$149.00","SteelSeries","A wireless gaming headset with excellent sound quality and long battery life, designed specifically for compatibility with PlayStation 5. It features a retractable microphone, comfortable ear cushions, and a durable build.","https://absentdata.com/wp-content/uploads/2024/11/Arc_Headset-removebg-preview.png","2022-04-01","Government","Canada"," Low ",10,"$1,490.00","$1,040.00","April","2022","April","low",3,"$1,445.30"
"Scarlett 2i2","Audio Interface","$118.00","$169.00","Focusrite","A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, it’s a staple in beginner and professional setups alike.","https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png","2022-04-01","Education","France"," Low ",9,"$1,521.00","$1,062.00","April","2022","April","low",3,"$1,475.37"
"MV7","Dynamic Microphone","$174.00","$199.00","Shure","A versatile USB/XLR dynamic microphone ideal for podcasting, streaming, and vocal recording. It features built-in DSP for sound customization and excellent voice isolation, inspired by the legendary SM7B microphone.","https://absentdata.com/wp-content/uploads/2024/11/m7_gif.gif","2022-04-01","Creator","Canada"," Low ",3,"$597.00","$522.00","April","2022","April","low",3,"$579.09"
"QuadCast S","Streaming Microphone","$97.00","$139.00","HyperX","A USB condenser microphone featuring customizable RGB lighting, tap-to-mute functionality, and four polar patterns for versatile recording options. Ideal for gaming, streaming, and content creation.","https://absentdata.com/wp-content/uploads/2024/11/hyper_x_color_gif.gif","2022-04-01","Government","Mexico"," Low ",7,"$973.00","$679.00","April","2022","April","low",3,"$943.81"
"NT1-A","Condenser Microphone","$160.00","$229.00","Rode","A popular condenser microphone known for its low self-noise and clear sound quality, perfect for vocal and instrument recordings. It comes with a shock mount and pop filter, making it a great choice for home studios.","https://absentdata.com/wp-content/uploads/2024/11/nt-1_image-removebg-preview.png","2023-04-01","Small Business","United States of America"," Low ",23,"$5,267.00","$3,680.00","April","2023","April","low",3,"$5,108.99"
"Scarlett 2i2","Audio Interface","$118.00","$169.00","Focusrite","A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, it’s a staple in beginner and professional setups alike.","https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png","2023-04-01","Government","United States of America"," Low ",45,"$7,605.00","$5,310.00","April","2023","April","low",3,"$7,376.85"
"Scarlett 2i2","Audio Interface","$118.00","$169.00","Focusrite","A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, it’s a staple in beginner and professional setups alike.","https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png","2022-04-01","Government","United States of America"," Low ",1,"$169.00","$118.00","April","2022","April","low",3,"$163.93"
"AudioBox USB 96 Studio","Recording Bundle","$90.00","$199.00","PreSonus","A complete recording bundle that includes an audio interface, M7 condenser microphone, headphones, and software. This all-in-one package is designed for musicians, podcasters, and streamers looking for an affordable, portable recording setup.","https://absentdata.com/wp-content/uploads/2024/11/AudioBox-USB-96-Studio.png","2022-04-01","Government","Mexico"," Low ",28,"$5,572.00","$2,520.00","April","2022","April","low",3,"$5,404.84"
"QuadCast S","Streaming Microphone","$97.00","$139.00","HyperX","A USB condenser microphone featuring customizable RGB lighting, tap-to-mute functionality, and four polar patterns for versatile recording options. Ideal for gaming, streaming, and content creation.","https://absentdata.com/wp-content/uploads/2024/11/hyper_x_color_gif.gif","2022-04-01","Government","United States of America"," Low ",0,"$0.00","$0.00","April","2022","April","low",3,"$0.00"
"AudioBox USB 96 Studio","Recording Bundle","$90.00","$199.00","PreSonus","A complete recording bundle that includes an audio interface, M7 condenser microphone, headphones, and software. This all-in-one package is designed for musicians, podcasters, and streamers looking for an affordable, portable recording setup.","https://absentdata.com/wp-content/uploads/2024/11/AudioBox-USB-96-Studio.png","2023-04-01","Government","France"," Low ",39,"$7,761.00","$3,510.00","April","2023","April","low",3,"$7,528.17"
"Scarlett 2i2","Audio Interface","$118.00","$169.00","Focusrite","A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, it’s a staple in beginner and professional setups alike.","https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png","2023-04-01","Education","United States of America"," Medium ",37,"$6,253.00","$4,366.00","April","2023","April","medium",8,"$5,752.76"
"Arctis 7P+","Wireless Gaming Headset","$104.00","$149.00","SteelSeries","A wireless gaming headset with excellent sound quality and long battery life, designed specifically for compatibility with PlayStation 5. It features a retractable microphone, comfortable ear cushions, and a durable build.","https://absentdata.com/wp-content/uploads/2024/11/Arc_Headset-removebg-preview.png","2022-04-01","Creator","France"," Medium ",1,"$149.00","$104.00","April","2022","April","medium",8,"$137.08"
"NT1-A","Condenser Microphone","$160.00","$229.00","Rode","A popular condenser microphone known for its low self-noise and clear sound quality, perfect for vocal and instrument recordings. It comes with a shock mount and pop filter, making it a great choice for home studios.","https://absentdata.com/wp-content/uploads/2024/11/nt-1_image-removebg-preview.png","2022-04-01","Small Business","Germany"," Medium ",9,"$2,061.00","$1,440.00","April","2022","April","medium",8,"$1,896.12"
"Scarlett 2i2","Audio Interface","$118.00","$169.00","Focusrite","A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, it’s a staple in beginner and professional setups alike.","https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png","2022-04-01","Government","Canada"," Medium ",11,"$1,859.00","$1,298.00","April","2022","April","medium",8,"$1,710.28"
"NT1-A","Condenser Microphone","$160.00","$229.00","Rode","A popular condenser microphone known for its low self-noise and clear sound quality, perfect for vocal and instrument recordings. It comes with a shock mount and pop filter, making it a great choice for home studios.","https://absentdata.com/wp-content/uploads/2024/11/nt-1_image-removebg-preview.png","2022-04-01","Small Business","Mexico"," Medium ",7,"$1,603.00","$1,120.00","April","2022","April","medium",8,"$1,474.76"
"QuadCast S","Streaming Microphone","$97.00","$139.00","HyperX","A USB condenser microphone featuring customizable RGB lighting, tap-to-mute functionality, and four polar patterns for versatile recording options. Ideal for gaming, streaming, and content creation.","https://absentdata.com/wp-content/uploads/2024/11/hyper_x_color_gif.gif","2023-04-01","Government","United States of America"," Medium ",14,"$1,946.00","$1,358.00","April","2023","April","medium",8,"$1,790.32"
"AudioBox USB 96 Studio","Recording Bundle","$90.00","$199.00","PreSonus","A complete recording bundle that includes an audio interface, M7 condenser microphone, headphones, and software. This all-in-one package is designed for musicians, podcasters, and streamers looking for an affordable, portable recording setup.","https://absentdata.com/wp-content/uploads/2024/11/AudioBox-USB-96-Studio.png","2023-04-01","Education","Mexico"," Medium ",26,"$5,174.00","$2,340.00","April","2023","April","medium",8,"$4,760.08"
"NT1-A","Condenser Microphone","$160.00","$229.00","Rode","A popular condenser microphone known for its low self-noise and clear sound quality, perfect for vocal and instrument recordings. It comes with a shock mount and pop filter, making it a great choice for home studios.","https://absentdata.com/wp-content/uploads/2024/11/nt-1_image-removebg-preview.png","2022-04-01","Government","Canada"," Medium ",8,"$1,832.00","$1,280.00","April","2022","April","medium",8,"$1,685.44"
"Arctis 7P+","Wireless Gaming Headset","$104.00","$149.00","SteelSeries","A wireless gaming headset with excellent sound quality and long battery life, designed specifically for compatibility with PlayStation 5. It features a retractable microphone, comfortable ear cushions, and a durable build.","https://absentdata.com/wp-content/uploads/2024/11/Arc_Headset-removebg-preview.png","2022-04-01","Creator","Mexico"," Medium ",12,"$1,788.00","$1,248.00","April","2022","April","medium",8,"$1,644.96"
"QuadCast S","Streaming Microphone","$97.00","$139.00","HyperX","A USB condenser microphone featuring customizable RGB lighting, tap-to-mute functionality, and four polar patterns for versatile recording options. Ideal for gaming, streaming, and content creation.","https://absentdata.com/wp-content/uploads/2024/11/hyper_x_color_gif.gif","2022-04-01","Small Business","United States of America"," Medium ",7,"$973.00","$679.00","April","2022","April","medium",8,"$895.16"
"Scarlett 2i2","Audio Interface","$118.00","$169.00","Focusrite","A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, it’s a staple in beginner and professional setups alike.","https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png","2022-04-01","Government","Mexico"," Medium ",26,"$4,394.00","$3,068.00","April","2022","April","medium",8,"$4,042.48"
"Scarlett 2i2","Audio Interface","$118.00","$169.00","Focusrite","A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, it’s a staple in beginner and professional setups alike.","https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png","2023-04-01","Small Business","Mexico"," Medium ",16,"$2,704.00","$1,888.00","April","2023","April","medium",8,"$2,487.68"
"AudioBox USB 96 Studio","Recording Bundle","$90.00","$199.00","PreSonus","A complete recording bundle that includes an audio interface, M7 condenser microphone, headphones, and software. This all-in-one package is designed for musicians, podcasters, and streamers looking for an affordable, portable recording setup.","https://absentdata.com/wp-content/uploads/2024/11/AudioBox-USB-96-Studio.png","2022-04-01","Government","Germany"," Medium ",8,"$1,592.00","$720.00","April","2022","April","medium",8,"$1,464.64"
"Scarlett 2i2","Audio Interface","$118.00","$169.00","Focusrite","A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, it’s a staple in beginner and professional setups alike.","https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png","2023-04-01","Education","France"," Medium ",38,"$6,422.00","$4,484.00","April","2023","April","medium",8,"$5,908.24"
"NT1-A","Condenser Microphone","$160.00","$229.00","Rode","A popular condenser microphone known for its low self-noise and clear sound quality, perfect for vocal and instrument recordings. It comes with a shock mount and pop filter, making it a great choice for home studios.","https://absentdata.com/wp-content/uploads/2024/11/nt-1_image-removebg-preview.png","2023-04-01","Government","Mexico"," Medium ",10,"$2,290.00","$1,600.00","April","2023","April","medium",8,"$2,106.80"
"QuadCast S","Streaming Microphone","$97.00","$139.00","HyperX","A USB condenser microphone featuring customizable RGB lighting, tap-to-mute functionality, and four polar patterns for versatile recording options. Ideal for gaming, streaming, and content creation.","https://absentdata.com/wp-content/uploads/2024/11/hyper_x_color_gif.gif","2023-04-01","Creator","France"," Medium ",17,"$2,363.00","$1,649.00","April","2023","April","medium",8,"$2,173.96"
"Scarlett 2i2","Audio Interface","$118.00","$169.00","Focusrite","A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, it’s a staple in beginner and professional setups alike.","https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png","2023-04-01","Government","Germany"," Medium ",13,"$2,197.00","$1,534.00","April","2023","April","medium",8,"$2,021.24"
"QuadCast S","Streaming Microphone","$97.00","$139.00","HyperX","A USB condenser microphone featuring customizable RGB lighting, tap-to-mute functionality, and four polar patterns for versatile recording options. Ideal for gaming, streaming, and content creation.","https://absentdata.com/wp-content/uploads/2024/11/hyper_x_color_gif.gif","2023-04-01","Government","France"," Medium ",6,"$834.00","$582.00","April","2023","April","medium",8,"$767.28"
"NT1-A","Condenser Microphone","$160.00","$229.00","Rode","A popular condenser microphone known for its low self-noise and clear sound quality, perfect for vocal and instrument recordings. It comes with a shock mount and pop filter, making it a great choice for home studios.","https://absentdata.com/wp-content/uploads/2024/11/nt-1_image-removebg-preview.png","2023-04-01","Small Business","Canada"," Medium ",38,"$8,702.00","$6,080.00","April","2023","April","medium",8,"$8,005.84"
"MV7","Dynamic Microphone","$174.00","$199.00","Shure","A versatile USB/XLR dynamic microphone ideal for podcasting, streaming, and vocal recording. It features built-in DSP for sound customization and excellent voice isolation, inspired by the legendary SM7B microphone.","https://absentdata.com/wp-content/uploads/2024/11/m7_gif.gif","2022-04-01","Enterprise","Germany"," Medium ",24,"$4,776.00","$4,176.00","April","2022","April","medium",8,"$4,393.92"
"QuadCast S","Streaming Microphone","$97.00","$139.00","HyperX","A USB condenser microphone featuring customizable RGB lighting, tap-to-mute functionality, and four polar patterns for versatile recording options. Ideal for gaming, streaming, and content creation.","https://absentdata.com/wp-content/uploads/2024/11/hyper_x_color_gif.gif","2022-04-01","Small Business","Canada"," Medium ",13,"$1,807.00","$1,261.00","April","2022","April","medium",8,"$1,662.44"
"Scarlett 2i2","Audio Interface","$118.00","$169.00","Focusrite","A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, it’s a staple in beginner and professional setups alike.","https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png","2022-04-01","Government","Germany"," Medium ",1,"$169.00","$118.00","April","2022","April","medium",8,"$155.48"
"AudioBox USB 96 Studio","Recording Bundle","$90.00","$199.00","PreSonus","A complete recording bundle that includes an audio interface, M7 condenser microphone, headphones, and software. This all-in-one package is designed for musicians, podcasters, and streamers looking for an affordable, portable recording setup.","https://absentdata.com/wp-content/uploads/2024/11/AudioBox-USB-96-Studio.png","2022-04-01","Government","United States of America"," Medium ",22,"$4,378.00","$1,980.00","April","2022","April","medium",8,"$4,027.76"
"AudioBox USB 96 Studio","Recording Bundle","$90.00","$199.00","PreSonus","A complete recording bundle that includes an audio interface, M7 condenser microphone, headphones, and software. This all-in-one package is designed for musicians, podcasters, and streamers looking for an affordable, portable recording setup.","https://absentdata.com/wp-content/uploads/2024/11/AudioBox-USB-96-Studio.png","2022-04-01","Government","France"," Medium ",13,"$2,587.00","$1,170.00","April","2022","April","medium",8,"$2,380.04"
"Scarlett 2i2","Audio Interface","$118.00","$169.00","Focusrite","A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, it’s a staple in beginner and professional setups alike.","https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png","2022-04-01","Education","Germany"," Medium ",24,"$4,056.00","$2,832.00","April","2022","April","medium",8,"$3,731.52"
"Scarlett 2i2","Audio Interface","$118.00","$169.00","Focusrite","A compact USB audio interface with two inputs, allowing users to connect microphones and instruments for high-quality audio recording. Known for its ease of use and low-latency performance, it’s a staple in beginner and professional setups alike.","https://absentdata.com/wp-content/uploads/2024/11/focusrite-scarlett-2i2-2-removebg-preview.png","2022-04-01","Government","France"," Medium ",24,"$4,056.00","$2,832.00","April","2022","April","medium",8,"$3,731.52"
"QuadCast S","Streaming Microphone","$97.00","$139.00","HyperX","A USB condenser microphone featuring customizable RGB lighting, tap-to-mute functionality, and four polar patterns for versatile recording options. Ideal for gaming, streaming, and content creation.","https://absentdata.com/wp-content/uploads/2024/11/hyper_x_color_gif.gif","2023-04-01","Creator","Germany"," None ",28,"$3,892.00","$2,716.00","April","2023","April","none",0,"$3,892.00"
"Arctis 7P+","Wireless Gaming Headset","$104.00","$149.00","SteelSeries","A wireless gaming headset with excellent sound quality and long battery life, designed specifically for compatibility with PlayStation 5. It features a retractable microphone, comfortable ear cushions, and a durable build.","https://absentdata.com/wp-content/uploads/2024/11/Arc_Headset-removebg-preview.png","2023-04-01","Creator","United States of America"," None ",20,"$2,980.00","$2,080.00","April","2023","April","none",0,"$2,980.00"
"Arctis 7P+","Wireless Gaming Headset","$104.00","$149.00","SteelSeries","A wireless gaming headset with excellent sound quality and long battery life, designed specifically for compatibility with PlayStation 5. It features a retractable microphone, comfortable ear cushions, and a durable build.","https://absentdata.com/wp-content/uploads/2024/11/Arc_Headset-removebg-preview.png","2023-04-01","Enterprise","Germany"," None ",42,"$6,258.00","$4,368.00","April","2023","April","none",0,"$6,258.00"
